year,iso_code,co2_per_capita
1995,AFG,0.086
1995,,4.096
1995,ALB,0.636
1995,DZA,3.398
1995,AND,6.752
1995,AGO,0.907
1995,AIA,6.091
1995,ATA,0
1995,ATG,3.963
1995,ARG,3.584
1995,ARM,1.012
1995,ABW,9.175
1995,AUS,16.945
1995,AUT,8.059
1995,AZE,4.222
1995,BHS,6.14
1995,BHR,24.184
1995,BGD,0.179
1995,BRB,4.891
1995,BLR,5.822
1995,BEL,12.475
1995,BLZ,1.854
1995,BEN,0.158
1995,BMU,8.931
1995,BTN,0.472
1995,BOL,1.15
1995,BES,4.706
1995,BIH,0.907
1995,BWA,1.972
1995,BRA,1.643
1995,VGB,4.97
1995,BRN,19.476
1995,BGR,6.831
1995,BFA,0.06
1995,BDI,0.04
1995,KHM,0.142
1995,CMR,0.407
1995,CAN,16.792
1995,CPV,0.481
1995,CALF,0.064
1995,TCD,0.062
1995,CHL,2.883
1995,CHN,2.76
1995,CXR,0
1995,COL,1.652
1995,COM,0.159
1995,COG,1.176
1995,COK,2.682
1995,CRI,1.344
1995,CIV,0.435
1995,HRV,3.498
1995,CUB,2.09
1995,CUW,30.84
1995,CYP,6.797
1995,CZE,12.764
1995,COD,0.072
1995,DNK,11.777
1995,DJI,0.495
1995,DMA,1.164
1995,DOM,1.92
1995,TLS,0.0
1995,ECU,2.032
1995,EGY,1.543
1995,SLV,0.87
1995,GNQ,2.188
1995,ERI,0.381
1995,EST,12.432
1995,SWZ,1.114
1995,ETH,0.044
1995,FRO,13.041
1995,FJI,0.93
1995,FIN,11.378
1995,FRA,6.73
1995,PYF,2.042
1995,GAB,4.653
1995,GMB,0.174
1995,GEO,0.47
1995,DEU,11.586
1995,GHA,0.265
1995,GRC,8.106
1995,GRL,9.575
1995,GRD,1.443
1995,GTM,0.683
1995,GIN,0.156
1995,GNB,0.164
1995,GUY,2.086
1995,HTI,0.115
1995,HND,0.66
1995,HKG,5.008
1995,HUN,5.965
1995,ISL,9.225
1995,IND,0.789
1995,IDN,1.122
1995,IRN,4.429
1995,IRQ,3.804
1995,IRL,10.016
1995,ISR,9.102
1995,ITA,7.901
1995,JAM,3.656
1995,JPN,9.878
1995,JOR,2.963
1995,KAZ,10.24
1995,KEN,0.281
1995,KIR,0.36
1995,KWT,33.909
1995,KGZ,0.981
1995,LAO,0.136
1995,LVA,3.554
1995,LBN,3.095
1995,ALSO,0.883
1995,LBR,0.194
1995,LBY,11.535
1995,LIE,6.606
1995,LTU,4.018
1995,LUX,22.461
1995,MAC,3.104
1995,MDG,0.086
1995,MWI,0.09
1995,MYS,5.504
1995,MDV,0.965
1995,MLI,0.06
1995,MLT,6.422
1995,MHL,1.734
1995,MRT,0.426
1995,MUS,1.576
1995,MEX,3.681
1995,FSM,1.627
1995,MDA,2.557
1995,MCO,0
1995,MNG,3.363
1995,MNE,2.1
1995,MSR,3.942
1995,MAR,1.081
1995,MOZ,0.073
1995,MMR,0.161
1995,NAME,1.009
1995,NRU,10.28
1995,NPL,0.104
1995,NLD,11.213
1995,NCL,10.33
1995,NZL,7.622
1995,NIC,0.583
1995,NER,0.057
1995,NGA,0.78
1995,NIU,3.102
1995,PRK,3.399
1995,MKD,3.995
1995,NOR,8.822
1995,OMN,8.623
1995,PAK,0.628
1995,PLW,11.481
1995,PSE,0.36
1995,PAN,1.345
1995,PNG,0.446
1995,PRY,0.855
1995,PER,1.028
1995,PHL,0.866
1995,POL,9.443
1995,PRT,5.419
1995,QAT,64.326
1995,ROU,5.579
1995,RUS,10.903
1995,RWA,0.08
1995,SHN,1.726
1995,KNA,3.012
1995,LCA,1.804
1995,SPM,10.812
1995,VCT,1.123
1995,WSM,0.649
1995,SMR,0
1995,STP,0.358
1995,SAU,14.195
1995,SEN,0.397
1995,SRB,4.903
1995,SYC,2.647
1995,SLE,0.052
1995,SGP,11.441
1995,SXM,16.265
1995,SVK,8.251
1995,SVN,7.711
1995,SLB,0.508
1995,SOME,0.081
1995,ZAF,8.223
1995,KOR,8.452
1995,SSD,0.067
1995,ESP,6.682
1995,LKA,0.32
1995,SDN,0.17
1995,SURE,4.742
1995,SWE,6.794
1995,CHE,6.167
1995,SYR,3.22
1995,TWN,7.871
1995,TJK,0.413
1995,TZA,0.08
1995,THA,2.586
1995,TGO,0.274
1995,TON,0.953
1995,TO,11.265
1995,TUN,1.751
1995,TUR,3.058
1995,TKM,8.179
1995,TCA,4.603
1995,TUV,0.381
1995,UGA,0.045
1995,UKR,7.639
1995,ARE,29.771
1995,GBR,9.773
1995,USA,20.422
1995,URY,1.42
1995,UZB,4.551
1995,VUT,0.387
1995,VAT,0
1995,VEN,5.642
1995,VNM,0.408
1995,WLF,1.29
1995,YEM,0.687
1995,ZMB,0.247
1995,ZWE,1.367
1996,AFG,0.08
1996,,4.163
1996,ALB,0.617
1996,DZA,3.451
1996,AND,7.081
1996,AGO,1.06
1996,AIA,6.301
1996,ATA,0
1996,ATG,4.146
1996,ARG,3.705
1996,ARM,0.758
1996,ABW,9.133
1996,AUS,17.128
1996,AUT,8.468
1996,AZE,3.93
1996,BHS,5.948
1996,BHR,25.315
1996,BGD,0.179
1996,BRB,5.095
1996,BLR,5.915
1996,BEL,12.79
1996,BLZ,1.467
1996,BEN,0.191
1996,BMU,8.815
1996,BTN,0.555
1996,BOL,1.254
1996,BES,4.355
1996,BIH,1.085
1996,BWA,1.741
1996,BRA,1.742
1996,VGB,5.452
1996,BRN,19.198
1996,BGR,6.958
1996,BFA,0.066
1996,BDI,0.041
1996,KHM,0.146
1996,CMR,0.44
1996,CAN,17.172
1996,CPV,0.513
1996,CALF,0.063
1996,TCD,0.062
1996,CHL,3.3
1996,CHN,2.857
1996,CXR,0
1996,COL,1.636
1996,COM,0.163
1996,COG,1.433
1996,COK,2.878
1996,CRI,1.282
1996,CIV,0.508
1996,HRV,3.645
1996,CUB,2.128
1996,CUW,29.169
1996,CYP,7.058
1996,CZE,13.114
1996,COD,0.079
1996,DNK,14.25
1996,DJI,0.477
1996,DMA,1.059
1996,DOM,2.057
1996,TLS,0.0
1996,ECU,2.149
1996,EGY,1.494
1996,SLV,0.761
1996,GNQ,2.327
1996,ERI,0.397
1996,EST,13.273
1996,SWZ,0.809
1996,ETH,0.047
1996,FRO,13.606
1996,FJI,0.995
1996,FIN,12.495
1996,FRA,6.992
1996,PYF,1.994
1996,GAB,5.115
1996,GMB,0.172
1996,GEO,0.851
1996,DEU,11.804
1996,GHA,0.272
1996,GRC,8.248
1996,GRL,10.663
1996,GRD,1.468
1996,GTM,0.618
1996,GIN,0.161
1996,GNB,0.18
1996,GUY,2.193
1996,HTI,0.131
1996,HND,0.648
1996,HKG,4.564
1996,HUN,6.127
1996,ISL,9.377
1996,IND,0.838
1996,IDN,1.257
1996,IRN,4.463
1996,IRQ,3.453
1996,IRL,10.389
1996,ISR,9.254
1996,ITA,7.797
1996,JAM,3.825
1996,JPN,9.955
1996,JOR,3.0
1996,KAZ,9.57
1996,KEN,0.336
1996,KIR,0.354
1996,KWT,30.31
1996,KGZ,1.211
1996,LAO,0.149
1996,LVA,3.635
1996,LBN,3.161
1996,ALSO,0.888
1996,LBR,0.194
1996,LBY,11.193
1996,LIE,6.567
1996,LTU,4.229
1996,LUX,22.283
1996,MAC,3.48
1996,MDG,0.087
1996,MWI,0.089
1996,MYS,5.347
1996,MDV,1.097
1996,MLI,0.064
1996,MLT,6.577
1996,MHL,1.706
1996,MRT,0.437
1996,MUS,1.662
1996,MEX,3.732
1996,FSM,1.653
1996,MDA,2.638
1996,MCO,0
1996,MNG,3.367
1996,MNE,2.453
1996,MSR,4.736
1996,MAR,1.094
1996,MOZ,0.068
1996,MMR,0.166
1996,NAME,1.044
1996,NRU,9.893
1996,NPL,0.103
1996,NLD,11.732
1996,NCL,10.7
1996,NZL,7.86
1996,NIC,0.592
1996,NER,0.063
1996,NGA,0.882
1996,NIU,3.155
1996,PRK,2.931
1996,MKD,4.722
1996,NOR,9.477
1996,OMN,8.194
1996,PAK,0.682
1996,PLW,11.141
1996,PSE,0.379
1996,PAN,1.604
1996,PNG,0.458
1996,PRY,0.789
1996,PER,0.992
1996,PHL,0.864
1996,POL,9.825
1996,PRT,5.131
1996,QAT,65.039
1996,ROU,5.761
1996,RUS,10.705
1996,RWA,0.069
1996,SHN,1.741
1996,KNA,3.059
1996,LCA,1.904
1996,SPM,10.817
1996,VCT,1.154
1996,WSM,0.705
1996,SMR,0
1996,STP,0.352
1996,SAU,13.566
1996,SEN,0.414
1996,SRB,5.733
1996,SYC,3.103
1996,SLE,0.053
1996,SGP,13.147
1996,SXM,15.305
1996,SVK,8.216
1996,SVN,8.037
1996,SLB,0.512
1996,SOME,0.077
1996,ZAF,8.144
1996,KOR,9.22
1996,SSD,0.068
1996,ESP,6.338
1996,LKA,0.38
1996,SDN,0.171
1996,SURE,4.692
1996,SWE,7.214
1996,CHE,6.238
1996,SYR,3.204
1996,TWN,8.18
1996,TJK,0.468
1996,TZA,0.081
1996,THA,2.883
1996,TGO,0.285
1996,TON,0.768
1996,TO,14.053
1996,TUN,1.762
1996,TUR,3.311
1996,TKM,7.36
1996,TCA,4.398
1996,TUV,0.38
1996,UGA,0.048
1996,UKR,6.95
1996,ARE,29.312
1996,GBR,10.103
1996,USA,20.867
1996,URY,1.675
1996,UZB,4.61
1996,VUT,0.482
1996,VAT,0
1996,VEN,5.239
1996,VNM,0.473
1996,WLF,1.536
1996,YEM,0.68
1996,ZMB,0.206
1996,ZWE,1.334
1997,AFG,0.073
1997,,4.13
1997,ALB,0.474
1997,DZA,2.998
1997,AND,7.192
1997,AGO,1.068
1997,AIA,6.136
1997,ATA,0
1997,ATG,4.372
1997,ARG,3.812
1997,ARM,0.994
1997,ABW,9.264
1997,AUS,17.4
1997,AUT,8.445
1997,AZE,3.73
1997,BHS,5.186
1997,BHR,26.49
1997,BGD,0.189
1997,BRB,5.852
1997,BLR,5.921
1997,BEL,12.21
1997,BLZ,1.789
1997,BEN,0.192
1997,BMU,8.697
1997,BTN,0.713
1997,BOL,1.44
1997,BES,4.508
1997,BIH,2.067
1997,BWA,1.729
1997,BRA,1.821
1997,VGB,5.513
1997,BRN,19.434
1997,BGR,6.709
1997,BFA,0.074
1997,BDI,0.042
1997,KHM,0.136
1997,CMR,0.386
1997,CAN,17.488
1997,CPV,0.527
1997,CALF,0.063
1997,TCD,0.061
1997,CHL,3.777
1997,CHN,2.84
1997,CXR,0
1997,COL,1.75
1997,COM,0.167
1997,COG,1.68
1997,COK,2.914
1997,CRI,1.315
1997,CIV,0.47
1997,HRV,3.939
1997,CUB,2.256
1997,CUW,30.898
1997,CYP,7.018
1997,CZE,12.739
1997,COD,0.069
1997,DNK,12.4
1997,DJI,0.499
1997,DMA,1.167
1997,DOM,2.118
1997,TLS,0.0
1997,ECU,1.621
1997,EGY,1.667
1997,SLV,0.927
1997,GNQ,3.261
1997,ERI,0.353
1997,EST,13.143
1997,SWZ,1.154
1997,ETH,0.049
1997,FRO,13.251
1997,FJI,0.95
1997,FIN,12.198
1997,FRA,6.838
1997,PYF,2.054
1997,GAB,4.685
1997,GMB,0.17
1997,GEO,0.954
1997,DEU,11.438
1997,GHA,0.302
1997,GRC,8.625
1997,GRL,11.015
1997,GRD,1.597
1997,GTM,0.688
1997,GIN,0.164
1997,GNB,0.173
1997,GUY,2.392
1997,HTI,0.17
1997,HND,0.653
1997,HKG,4.735
1997,HUN,5.999
1997,ISL,9.653
1997,IND,0.856
1997,IDN,1.368
1997,IRN,4.279
1997,IRQ,3.411
1997,IRL,10.66
1997,ISR,9.553
1997,ITA,7.895
1997,JAM,3.941
1997,JPN,9.873
1997,JOR,2.973
1997,KAZ,9.255
1997,KEN,0.289
1997,KIR,0.348
1997,KWT,32.144
1997,KGZ,1.174
1997,LAO,0.154
1997,LVA,3.474
1997,LBN,3.676
1997,ALSO,0.897
1997,LBR,0.187
1997,LBY,10.562
1997,LIE,6.868
1997,LTU,4.104
1997,LUX,20.468
1997,MAC,3.613
1997,MDG,0.104
1997,MWI,0.087
1997,MYS,5.63
1997,MDV,1.226
1997,MLI,0.07
1997,MLT,6.574
1997,MHL,1.679
1997,MRT,0.434
1997,MUS,1.686
1997,MEX,3.892
1997,FSM,1.747
1997,MDA,1.662
1997,MCO,0
1997,MNG,3.197
1997,MNE,2.635
1997,MSR,4.65
1997,MAR,1.094
1997,MOZ,0.071
1997,MMR,0.169
1997,NAME,1.045
1997,NRU,9.878
1997,NPL,0.114
1997,NLD,11.215
1997,NCL,8.72
1997,NZL,8.284
1997,NIC,0.636
1997,NER,0.061
1997,NGA,0.842
1997,NIU,3.211
1997,PRK,2.79
1997,MKD,4.214
1997,NOR,9.449
1997,OMN,8.04
1997,PAK,0.664
1997,PLW,10.798
1997,PSE,0.304
1997,PAN,1.637
1997,PNG,0.527
1997,PRY,0.857
1997,PER,1.094
1997,PHL,0.964
1997,POL,9.564
1997,PRT,5.392
1997,QAT,76.612
1997,ROU,5.301
1997,RUS,10.019
1997,RWA,0.063
1997,SHN,1.758
1997,KNA,3.271
1997,LCA,1.909
1997,SPM,7.425
1997,VCT,1.154
1997,WSM,0.698
1997,SMR,0
1997,STP,0.346
1997,SAU,11.118
1997,SEN,0.352
1997,SRB,6.16
1997,SYC,3.59
1997,SLE,0.047
1997,SGP,15.087
1997,SXM,16.13
1997,SVK,8.218
1997,SVN,8.296
1997,SLB,0.517
1997,SOME,0.069
1997,ZAF,8.507
1997,KOR,9.681
1997,SSD,0.08
1997,ESP,6.616
1997,LKA,0.408
1997,SDN,0.205
1997,SURE,4.647
1997,SWE,6.629
1997,CHE,6.072
1997,SYR,3.261
1997,TWN,8.755
1997,TJK,0.351
1997,TZA,0.089
1997,THA,2.971
1997,TGO,0.191
1997,TON,0.983
1997,TO,14.346
1997,TUN,1.801
1997,TUR,3.461
1997,TKM,7.149
1997,TCA,5.095
1997,TUV,0.38
1997,UGA,0.049
1997,UKR,6.787
1997,ARE,26.554
1997,GBR,9.66
1997,USA,20.882
1997,URY,1.699
1997,UZB,4.566
1997,VUT,0.492
1997,VAT,0
1997,VEN,5.629
1997,VNM,0.598
1997,WLF,1.525
1997,YEM,0.711
1997,ZMB,0.258
1997,ZWE,1.224
1998,AFG,0.069
1998,,4.064
1998,ALB,0.543
1998,DZA,3.56
1998,AND,7.53
1998,AGO,1.075
1998,AIA,6.318
1998,ATA,0
1998,ATG,4.442
1998,ARG,3.836
1998,ARM,1.055
1998,ABW,9.555
1998,AUS,17.963
1998,AUT,8.39
1998,AZE,3.953
1998,BHS,6.308
1998,BHR,27.311
1998,BGD,0.187
1998,BRB,5.963
1998,BLR,5.8
1998,BEL,12.781
1998,BLZ,1.645
1998,BEN,0.169
1998,BMU,8.582
1998,BTN,0.686
1998,BOL,1.358
1998,BES,0.246
1998,BIH,2.564
1998,BWA,2.018
1998,BRA,1.855
1998,VGB,5.371
1998,BRN,17.477
1998,BGR,6.45
1998,BFA,0.077
1998,BDI,0.041
1998,KHM,0.168
1998,CMR,0.375
1998,CAN,17.591
1998,CPV,0.549
1998,CALF,0.062
1998,TCD,0.06
1998,CHL,3.818
1998,CHN,2.699
1998,CXR,0
1998,COL,1.734
1998,COM,0.178
1998,COG,1.317
1998,COK,2.787
1998,CRI,1.37
1998,CIV,0.426
1998,HRV,4.08
1998,CUB,2.202
1998,CUW,1.728
1998,CYP,7.208
1998,CZE,12.238
1998,COD,0.06
1998,DNK,11.557
1998,DJI,0.554
1998,DMA,1.116
1998,DOM,2.148
1998,TLS,0.071
1998,ECU,1.893
1998,EGY,1.827
1998,SLV,0.974
1998,GNQ,3.656
1998,ERI,0.252
1998,EST,12.005
1998,SWZ,1.156
1998,ETH,0.05
1998,FRO,13.876
1998,FJI,0.913
1998,FIN,11.517
1998,FRA,7.127
1998,PYF,2.006
1998,GAB,5.334
1998,GMB,0.178
1998,GEO,1.093
1998,DEU,11.327
1998,GHA,0.298
1998,GRC,9.015
1998,GRL,10.637
1998,GRD,1.656
1998,GTM,0.772
1998,GIN,0.171
1998,GNB,0.145
1998,GUY,2.416
1998,HTI,0.153
1998,HND,0.763
1998,HKG,5.946
1998,HUN,5.975
1998,ISL,9.62
1998,IND,0.857
1998,IDN,1.176
1998,IRN,4.783
1998,IRQ,3.507
1998,IRL,11.066
1998,ISR,9.543
1998,ITA,8.108
1998,JAM,3.762
1998,JPN,9.535
1998,JOR,2.942
1998,KAZ,9.324
1998,KEN,0.342
1998,KIR,0.342
1998,KWT,29.025
1998,KGZ,1.227
1998,LAO,0.156
1998,LVA,3.374
1998,LBN,3.897
1998,ALSO,0.908
1998,LBR,0.179
1998,LBY,10.37
1998,LIE,7.117
1998,LTU,4.364
1998,LUX,18.092
1998,MAC,3.718
1998,MDG,0.106
1998,MWI,0.084
1998,MYS,5.033
1998,MDV,1.097
1998,MLI,0.088
1998,MLT,6.433
1998,MHL,1.722
1998,MRT,0.419
1998,MUS,1.815
1998,MEX,4.024
1998,FSM,1.809
1998,MDA,1.48
1998,MCO,0
1998,MNG,3.169
1998,MNE,2.773
1998,MSR,4.555
1998,MAR,1.111
1998,MOZ,0.066
1998,MMR,0.181
1998,NAME,1.047
1998,NRU,9.512
1998,NPL,0.094
1998,NLD,11.209
1998,NCL,8.507
1998,NZL,7.837
1998,NIC,0.682
1998,NER,0.064
1998,NGA,0.741
1998,NIU,3.286
1998,PRK,2.552
1998,MKD,4.793
1998,NOR,9.436
1998,OMN,8.091
1998,PAK,0.665
1998,PLW,10.486
1998,PSE,0.495
1998,PAN,2.045
1998,PNG,0.687
1998,PRY,0.89
1998,PER,1.087
1998,PHL,0.916
1998,POL,8.835
1998,PRT,5.813
1998,QAT,63.49
1998,ROU,4.732
1998,RUS,9.922
1998,RWA,0.061
1998,SHN,1.778
1998,KNA,3.394
1998,LCA,2.079
1998,SPM,8.635
1998,VCT,1.412
1998,WSM,0.792
1998,SMR,0
1998,STP,0.341
1998,SAU,10.412
1998,SEN,0.36
1998,SRB,6.497
1998,SYC,3.726
1998,SLE,0.049
1998,SGP,12.263
1998,SXM,0.897
1998,SVK,8.16
1998,SVN,8.067
1998,SLB,0.53
1998,SOME,0.063
1998,ZAF,8.228
1998,KOR,8.174
1998,SSD,0.068
1998,ESP,6.803
1998,LKA,0.417
1998,SDN,0.174
1998,SURE,4.558
1998,SWE,6.66
1998,CHE,6.276
1998,SYR,3.429
1998,TWN,9.135
1998,TJK,0.406
1998,TZA,0.076
1998,THA,2.587
1998,TGO,0.273
1998,TON,0.868
1998,TO,15.05
1998,TUN,1.838
1998,TUR,3.408
1998,TKM,7.547
1998,TCA,5.093
1998,TUV,1.138
1998,UGA,0.054
1998,UKR,6.61
1998,ARE,27.423
1998,GBR,9.729
1998,USA,20.785
1998,URY,1.728
1998,UZB,4.987
1998,VUT,0.46
1998,VAT,0
1998,VEN,7.248
1998,VNM,0.621
1998,WLF,1.515
1998,YEM,0.729
1998,ZMB,0.243
1998,ZWE,1.224
1999,AFG,0.057
1999,,4.093
1999,ALB,0.931
1999,DZA,3.014
1999,AND,7.811
1999,AGO,1.088
1999,AIA,6.138
1999,ATA,0
1999,ATG,4.665
1999,ARG,4.029
1999,ARM,0.948
1999,ABW,9.321
1999,AUS,18.295
1999,AUT,8.218
1999,AZE,3.558
1999,BHS,6.349
1999,BHR,26.461
1999,BGD,0.198
1999,BRB,6.259
1999,BLR,5.623
1999,BEL,12.195
1999,BLZ,1.496
1999,BEN,0.215
1999,BMU,8.409
1999,BTN,0.676
1999,BOL,1.296
1999,BES,1.823
1999,BIH,2.488
1999,BWA,1.867
1999,BRA,1.886
1999,VGB,5.792
1999,BRN,18.278
1999,BGR,5.675
1999,BFA,0.079
1999,BDI,0.041
1999,KHM,0.159
1999,CMR,0.355
1999,CAN,17.911
1999,CPV,0.644
1999,CALF,0.063
1999,TCD,0.06
1999,CHL,4.046
1999,CHN,2.834
1999,CXR,0
1999,COL,1.438
1999,COM,0.181
1999,COG,1.298
1999,COK,3.105
1999,CRI,1.394
1999,CIV,0.373
1999,HRV,4.348
1999,CUB,2.21
1999,CUW,13.128
1999,CYP,7.362
1999,CZE,11.384
1999,COD,0.047
1999,DNK,11.025
1999,DJI,0.535
1999,DMA,1.173
1999,DOM,2.119
1999,TLS,0.177
1999,ECU,1.771
1999,EGY,1.834
1999,SLV,0.943
1999,GNQ,3.834
1999,ERI,0.261
1999,EST,11.356
1999,SWZ,1.216
1999,ETH,0.048
1999,FRO,13.933
1999,FJI,0.919
1999,FIN,11.396
1999,FRA,7.067
1999,PYF,2.182
1999,GAB,4.847
1999,GMB,0.197
1999,GEO,0.981
1999,DEU,10.979
1999,GHA,0.293
1999,GRC,8.908
1999,GRL,10.599
1999,GRD,1.818
1999,GTM,0.768
1999,GIN,0.175
1999,GNB,0.161
1999,GUY,2.417
1999,HTI,0.155
1999,HND,0.726
1999,HKG,6.406
1999,HUN,6.042
1999,ISL,10.234
1999,IND,0.913
1999,IDN,1.384
1999,IRN,5.769
1999,IRQ,3.444
1999,IRL,11.409
1999,ISR,9.135
1999,ITA,8.19
1999,JAM,3.836
1999,JPN,9.806
1999,JOR,2.882
1999,KAZ,7.817
1999,KEN,0.336
1999,KIR,0.336
1999,KWT,29.284
1999,KGZ,0.952
1999,LAO,0.158
1999,LVA,3.181
1999,LBN,3.866
1999,ALSO,0.915
1999,LBR,0.135
1999,LBY,9.937
1999,LIE,6.942
1999,LTU,3.701
1999,LUX,18.907
1999,MAC,3.565
1999,MDG,0.112
1999,MWI,0.081
1999,MYS,4.649
1999,MDV,1.515
1999,MLI,0.089
1999,MLT,6.497
1999,MHL,1.633
1999,MRT,0.418
1999,MUS,2.012
1999,MEX,4.01
1999,FSM,1.708
1999,MDA,1.088
1999,MCO,0
1999,MNG,3.083
1999,MNE,1.912
1999,MSR,6.328
1999,MAR,1.135
1999,MOZ,0.067
1999,MMR,0.198
1999,NAME,0.935
1999,NRU,8.803
1999,NPL,0.132
1999,NLD,10.805
1999,NCL,9.467
1999,NZL,8.208
1999,NIC,0.712
1999,NER,0.061
1999,NGA,0.71
1999,NIU,3.382
